Year,Month,Day,Concentration,DayOfWeek,Weekend
2008,6,4,46.56521739130435,3,0
2008,6,5,40.125,4,0
2008,6,6,45.91304347826087,5,0
2008,6,7,66.16666666666667,6,1
2008,6,8,73.43478260869566,0,1
2008,6,9,63.608695652173914,1,0
2008,6,10,68.76190476190476,2,0
2008,6,11,48.291666666666664,3,0
2008,6,12,37.73913043478261,4,0
2008,6,13,46.625,5,0
2008,6,14,50.52173913043478,6,1
2008,6,15,52.208333333333336,0,1
2008,6,16,58.0,1,0
2008,6,17,61.166666666666664,2,0
2008,6,18,69.56521739130434,3,0
2008,6,19,61.416666666666664,4,0
2008,6,20,56.17391304347826,5,0
2008,6,21,38.458333333333336,6,1
2008,6,22,59.26086956521739,0,1
2008,6,23,65.41666666666667,1,0
2008,6,24,72.6086956521739,2,0
2008,6,25,59.30434782608695,3,0
2008,6,26,58.208333333333336,4,0
2008,6,27,55.21739130434783,5,0
2008,6,28,57.208333333333336,6,1
2008,6,29,58.391304347826086,0,1
2008,6,30,46.541666666666664,1,0
2008,7,1,71.17391304347827,2,0
2008,7,2,75.29166666666667,3,0
2008,7,3,44.26086956521739,4,0
2008,7,4,45.083333333333336,5,0
2008,7,5,44.391304347826086,6,1
2008,7,6,55.416666666666664,0,1
2008,7,7,60.78260869565217,1,0
2008,7,8,63.90909090909091,2,0
2008,7,9,49.17391304347826,3,0
2008,7,10,35.791666666666664,4,0
2008,7,11,37.47826086956522,5,0
2008,7,12,54.166666666666664,6,1
2008,7,13,35.52173913043478,0,1
2008,7,14,48.791666666666664,1,0
2008,7,15,35.0,2,0
2008,7,16,29.416666666666668,3,0
2008,7,17,26.434782608695652,4,0
2008,7,18,45.375,5,0
2008,7,19,47.0,6,1
2008,7,20,41.583333333333336,0,1
2008,7,21,38.869565217391305,1,0
2008,7,22,55.875,2,0
2008,7,23,32.73913043478261,3,0
2008,7,24,67.41666666666667,4,0
2008,7,25,85.0,5,0
2008,7,26,57.125,6,1
2008,7,27,66.34782608695652,0,1
2008,7,28,66.0,1,0
2008,7,29,55.52173913043478,2,0
2008,7,30,66.95833333333333,3,0
2008,7,31,77.0,4,0
2008,8,1,60.833333333333336,5,0
2008,8,2,52.08695652173913,6,1
2008,8,3,49.708333333333336,0,1
2008,8,4,53.08695652173913,1,0
2008,8,5,45.416666666666664,2,0
2008,8,6,54.52173913043478,3,0
2008,8,7,47.541666666666664,4,0
2008,8,8,41.26086956521739,5,0
2008,8,9,48.416666666666664,6,1
2008,8,10,50.30434782608695,0,1
2008,8,11,38.1,1,0
2008,8,12,58.04347826086956,2,0
2008,8,13,57.75,3,0
2008,8,14,47.22727272727273,4,0
2008,8,15,42.0,5,0
2008,8,16,49.666666666666664,6,1
2008,8,17,53.34782608695652,0,1
2008,8,18,42.541666666666664,1,0
2008,8,19,59.63636363636363,2,0
2008,8,20,47.916666666666664,3,0
2008,8,21,48.40909090909091,4,0
2008,8,22,18.555555555555557,5,0
2008,8,23,35.9,6,1
2008,8,24,41.30434782608695,0,1
2008,8,25,39.95652173913044,1,0
2008,8,26,36.166666666666664,2,0
2008,8,27,38.63636363636363,3,0
2008,8,28,24.833333333333332,4,0
2008,8,29,25.571428571428573,5,0
2008,8,30,46.041666666666664,6,1
2008,8,31,64.04347826086956,0,1
2008,9,1,45.583333333333336,1,0
2008,9,2,44.869565217391305,2,0
2008,9,3,37.625,3,0
2008,9,4,42.69565217391305,4,0
2008,9,5,38.166666666666664,5,0
2008,9,6,56.0,6,1
2008,9,7,49.416666666666664,0,1
2008,9,8,43.95652173913044,1,0
2008,9,9,50.333333333333336,2,0
2008,9,10,38.95454545454545,3,0
2008,9,11,48.583333333333336,4,0
2008,9,12,26.857142857142858,5,0
2008,9,13,11.045454545454545,6,1
2008,9,14,31.142857142857142,0,1
2008,9,15,18.166666666666668,1,0
2008,9,16,17.09090909090909,2,0
2008,9,17,27.791666666666668,3,0
2008,9,18,23.470588235294116,4,0
2008,9,19,26.227272727272727,5,0
2008,9,20,33.56521739130435,6,1
2008,9,21,36.75,0,1
2008,9,22,32.130434782608695,1,0
2008,9,23,24.333333333333332,2,0
2008,9,24,14.75,3,0
2008,9,25,17.833333333333332,4,0
2008,9,26,25.227272727272727,5,0
2008,9,27,31.333333333333332,6,1
2008,9,28,33.76190476190476,0,1
2008,9,29,12.291666666666666,1,0
2008,9,30,37.34782608695652,2,0
2008,10,1,53.23809523809524,3,0
2008,10,2,41.625,4,0
2008,10,3,26.304347826086957,5,0
2008,10,4,41.166666666666664,6,1
2008,10,5,47.0,0,1
2008,10,6,25.95,1,0
2008,10,7,26.157894736842106,2,0
2008,10,8,27.333333333333332,3,0
2008,10,9,14.904761904761905,4,0
2008,10,10,20.083333333333332,5,0
2008,10,11,18.73913043478261,6,1
2008,10,12,19.833333333333332,0,1
2008,10,13,30.565217391304348,1,0
2008,10,14,21.2,2,0
2008,10,15,37.36363636363637,3,0
2008,10,16,28.875,4,0
2008,10,17,15.217391304347826,5,0
2008,10,18,27.625,6,1
2008,10,19,29.47826086956522,0,1
2008,10,20,48.0,1,0
2008,10,21,37.65217391304348,2,0
2008,10,22,13.75,3,0
2008,10,23,21.47826086956522,4,0
2008,10,24,32.833333333333336,5,0
2008,10,25,26.08695652173913,6,1
2008,10,26,47.458333333333336,0,1
2008,10,27,32.78260869565217,1,0
2008,10,28,12.583333333333334,2,0
2008,10,29,11.73913043478261,3,0
2008,10,30,5.416666666666667,4,0
2008,10,31,5.782608695652174,5,0
2008,11,1,16.208333333333332,6,1
2008,11,2,24.73913043478261,0,1
2008,11,3,3.0833333333333335,1,0
2008,11,4,5.782608695652174,2,0
2008,11,5,7.041666666666667,3,0
2008,11,6,3.3636363636363638,4,0
2008,11,7,17.791666666666668,5,0
2008,11,8,39.73913043478261,6,1
2008,11,9,58.25,0,1
2008,11,10,57.21739130434783,1,0
2008,11,11,60.166666666666664,2,0
2008,11,12,37.56521739130435,3,0
2008,11,13,8.916666666666666,4,0
2008,11,14,21.82608695652174,5,0
2008,11,15,31.708333333333332,6,1
2008,11,16,32.26086956521739,0,1
2008,11,17,22.08695652173913,1,0
